,title,description,date,type,comp_short,data_exchange,data-price
54,"НРД пояснил, какие активы можно перевести по лицензии Бельгии и куда","Депозитарий сообщил, что Казначейство Бельгии требует продать только заблокированные ценные бумаги, выпущенные российскими компаниями. Бумаги иностранных эмитентов возможно перевести в европейский банк или брокер","27 дек 2022, 23:37",Новости,"['IMOEX', 'RTSI']","['0.547', '-1.717']","['2150.92', '960.51']"
55,Цены на золото взлетели до максимума за полгода,Золото дорожает на фоне отмены карантинных ограничений в Китае и признаков снижения инфляции в США. Стоимость драгметалла уже выросла почти на $200 после падения до более чем двухлетнего минимума в конце сентября,"27 дек 2022, 20:23",Новости,"['GOLD', 'Silver', 'PLZL']","['1.122', '1.709', '0.679']","['1802.3', '23.81', '7862']"
56,Brent выросла до $86 после указа Путина об ответных мерах на потолок цен,"Согласно указу, запрещаются поставки российской нефти и нефтепродуктов иностранным гражданам и компаниям, если в контрактах предусмотрен механизм ограничения цен на нефть","27 дек 2022, 19:53",Новости,"['BRENT', 'ROSN', 'LKOH', 'TATN', 'TATNP', 'GAZP']","['1.087', '0.865', '0.461', '-0.542', '-0.059', '1.203']","['85.54', '355.45', '4028.5', '348.9', '341.3', '164.07']"
57,Банки и биржи — фавориты аналитиков на 2023 год. Почему они так решили?,"Чаще всего своими фаворитами эксперты называли бумаги «Сбера» и Московской биржи, а также расписки TCS Group","27 дек 2022, 18:44",Новости,"['SBER', 'SBERP', 'TCSG', 'MOEX']","['-0.745', '-0.275', '2.109', '0.373']","['139.9', '137.7', '2614.5', '94.2']"
58,В «Сбере» спрогнозировали ослабление доллара до ₽65 уже в январе,"В декабре курс рубля достигал ₽72,6 за доллар на фоне повышенного спроса на иностранную валюту. Однако ослабление рубля может быть временным, полагают валютные стратеги SberCIB. Уже в январе можно ожидать его укрепления","27 дек 2022, 17:27",Новости,"['USD/RUB', 'CNY/RUB', 'EUR/RUB']","['1.602', '2.108', '1.971']","['70.4', '9.98', '75']"
59,Аналитики предсказали рост акций бигтехов после «шоу ужасов» этого года,"Технологический сектор вырастет на 20% в 2023 году с текущих уровней, прогнозируют в Wedbush Securities","27 дек 2022, 15:39",Новости,"['AAPL', 'AMZN', 'NFLX', 'GOOGL']","['-1.306', '-2.352', '-3.628', '-1.965']","['129.99', '83.04', '284', '87.3']"
60,Цены на газ в Европе впервые с 13 июня упали ниже $900 за 1 тыс. куб. м,Биржевые цены на газ в Европе снижаются на фоне мягкой зимы в регионе и высокого уровня заполненности хранилищ,"27 дек 2022, 11:52",Новости,"['BRENT', 'GAZP', 'NVTK', 'SNGS', 'SNGSP']","['1.087', '1.203', '-0.038', '-0.113', '1.688']","['85.54', '164.07', '1052', '22.05', '25.905']"
61,Скам: как распознать и не попасться,"Вложить $100, а через месяц получить $1 тыс. дохода — заманчиво, но нереалистично. Рассказываем, что такое скам и как увидеть признаки мошенничества","27 дек 2022, 11:00",Академия,"['IMOEX', 'RTSI']","['0.547', '-1.717']","['2150.92', '960.51']"
62,"Отмена карантина в Китае и акции, цены на нефть, торги в США: дайджест","В Китае отменят карантин для прибывших в страну, акции отреагировали на эту новость ростом. Нефть сорта Brent дорожает. В США возобновятся торги после выходного в честь Рождества. События, которые влияют на рынок","27 дек 2022, 09:25",События дня,"['BRENT', 'CNY/RUB', 'ROSN', 'LKOH', '9988', '9618']","['1.087', '2.108', '0.865', '0.461', '', '']","['85.54', '9.98', '355.45', '4028.5', '', '']"
63,Стратегия ВТБ — 2023: дивдоходность российских акций может достичь 11%,"В стратегии на 2023 год эксперты также выделили наиболее привлекательные компании на российском рынке. В числе фаворитов ЛУКОЙЛ, НОВАТЭК, «Полюс», Ozon и еще ряд эмитентов","27 дек 2022, 08:35",Новости,"['VTBR', 'GOLD', 'BRENT']","['-0.614', '1.122', '1.087']","['85', '1802.3', '85.54']"
