BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
EQDP,2018-06-14,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-14,ГАЗПРОМ ао,GAZP,8,1538.81,138.8,138.8,140.99,,139.93,139.16,11,,,,0.0,0.0,0.0,,3,SUR,-0.89
TQBR,2018-06-14,ГАЗПРОМ ао,GAZP,23643,3497109125.3,140.9,139.14,141.44,139.4,139.93,139.4,24991210,139.93,139.93,139.4,3497109125.3,3497109125.3,3497109125.3,,3,SUR,-1.13
EQDP,2018-06-15,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-15,ГАЗПРОМ ао,GAZP,7,1942.86,140.68,137.9,140.68,,138.64,138.0,14,,,,0.0,0.0,0.0,,3,SUR,-0.83
TQBR,2018-06-15,ГАЗПРОМ ао,GAZP,31000,5878510828.8,139.7,137.64,140.87,137.73,138.64,137.73,42413220,138.6,138.6,137.73,5878510828.8,5878510828.8,5878510828.8,,3,SUR,-1.2
EQDP,2018-06-18,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-18,ГАЗПРОМ ао,GAZP,12,3166.89,138.59,136.57,140.0,,137.1,138.38,23,,,,0.0,0.0,0.0,,3,SUR,0.28
TQBR,2018-06-18,ГАЗПРОМ ао,GAZP,25851,3164639621.8,138.05,136.0,138.3,136.52,137.1,136.52,23081990,137.1,137.1,136.52,3164639621.8,3164639621.8,3164639621.8,,3,SUR,-0.88
EQDP,2018-06-19,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-19,ГАЗПРОМ ао,GAZP,18,5453.69,131.78,126.03,135.45,,134.44,135.45,41,,,,0.0,0.0,0.0,,3,SUR,-2.12
TQBR,2018-06-19,ГАЗПРОМ ао,GAZP,38604,4893964443.5,136.0,132.86,136.28,135.5,134.44,135.5,36396760,134.46,134.46,135.5,4893964443.5,4893964443.5,4893964443.5,,3,SUR,-0.75
EQDP,2018-06-20,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-20,ГАЗПРОМ ао,GAZP,30,8767.61,136.61,135.0,138.12,,137.32,138.04,64,,,,0.0,0.0,0.0,,3,SUR,1.91
TQBR,2018-06-20,ГАЗПРОМ ао,GAZP,29018,3716643822.4,136.5,136.0,138.5,136.91,137.32,136.91,27065540,137.32,137.32,136.91,3716643822.4,3716643822.4,3716643822.4,,3,SUR,1.04
EQDP,2018-06-21,ГАЗПРОМ ао,GAZP,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,,3,SUR,-100.0
SMAL,2018-06-21,ГАЗПРОМ ао,GAZP,13,3634.34,134.0,133.75,135.89,,135.45,135.85,27,,,,0.0,0.0,0.0,,3,SUR,-1.59
TQBR,2018-06-21,ГАЗПРОМ ао,GAZP,27511,3890851362.8,136.51,134.04,137.9,134.4,135.45,134.4,28725430,135.45,135.45,134.4,3890851362.8,3890851362.8,3890851362.8,,3,SUR,-1.83
